name,year,selling_price,km_driven,owner,mileage,engine,max_power,seats,fuel_Diesel,fuel_LPG,fuel_Petrol,seller_type_Individual,seller_type_Trustmark Dealer,transmission_Manual,car_age,model,km_per_year,usage_intensity,specific_power,age_km_interaction,mileage_power_interaction,brand_Ford,brand_Honda,brand_Hyundai,brand_Maruti,brand_Nissan,brand_Other,brand_Renault,brand_Tata,brand_Toyota,brand_Volkswagen
Maruti Swift Dzire VDI,2014,450000,145500,1,23.4,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,11,Swift,13227.272727272728,2,0.05929487179487179,1600500,1731.6,0,0,0,1,0,0,0,0,0,0
Skoda Rapid 1.5 TDI Ambition,2014,370000,120000,2,21.14,1498.0,103.52,5.0,1.0,0.0,0.0,1.0,0.0,1.0,11,Rapid,10909.09090909091,2,0.06910547396528705,1320000,2188.4128,0,0,0,0,0,1,0,0,0,0
Honda City 2017-2020 EXi,2006,158000,140000,3,17.7,1497.0,78.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,19,City,7368.421052631579,2,0.052104208416833664,2660000,1380.6,0,1,0,0,0,0,0,0,0,0
Hyundai i20 Sportz Diesel,2010,225000,127000,1,23.0,1396.0,90.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,15,i20,8466.666666666666,2,0.06446991404011461,1905000,2070.0,0,0,1,0,0,0,0,0,0,0
Maruti Swift VXI BSIII,2007,130000,120000,1,16.1,1298.0,88.2,5.0,0.0,0.0,1.0,1.0,0.0,1.0,18,Swift,6666.666666666667,2,0.0679506933744222,2160000,1420.0200000000002,0,0,0,1,0,0,0,0,0,0
Hyundai Xcent 1.2 VTVT E Plus,2017,440000,45000,1,20.14,1197.0,81.86,5.0,0.0,0.0,1.0,1.0,0.0,1.0,8,Xcent,5625.0,2,0.0683876357560568,360000,1648.6604,0,0,1,0,0,0,0,0,0,0
Maruti Wagon R LXI DUO BSIII,2007,96000,175000,1,23.355000000000004,1061.0,57.5,5.0,0.0,1.0,0.0,1.0,0.0,1.0,18,Wagon,9722.222222222223,2,0.05419415645617342,3150000,1342.9125000000001,0,0,0,1,0,0,0,0,0,0
Toyota Etios VXD,2011,350000,90000,1,23.59,1364.0,67.1,5.0,1.0,0.0,0.0,1.0,0.0,1.0,14,Etios,6428.571428571428,2,0.04919354838709677,1260000,1582.889,0,0,0,0,0,0,0,0,1,0
Ford Figo Diesel Celebration Edition,2013,200000,169000,1,20.0,1399.0,68.1,5.0,1.0,0.0,0.0,1.0,0.0,1.0,12,Figo,14083.333333333334,2,0.04867762687634024,2028000,1362.0,1,0,0,0,0,0,0,0,0,0
Renault Duster 110PS Diesel RxL,2014,500000,68000,2,19.01,1461.0,108.45,5.0,1.0,0.0,0.0,1.0,0.0,1.0,11,Duster,6181.818181818182,2,0.0742299794661191,748000,2061.6345,0,0,0,0,0,0,1,0,0,0
Maruti Zen LX,2005,92000,100000,2,17.3,993.0,60.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,20,Zen,5000.0,1,0.06042296072507553,2000000,1038.0,0,0,0,1,0,0,0,0,0,0
Maruti Swift Dzire VDi,2009,280000,140000,2,19.3,1248.0,73.9,5.0,1.0,0.0,0.0,1.0,0.0,1.0,16,Swift,8750.0,2,0.059214743589743594,2240000,1426.2700000000002,0,0,0,1,0,0,0,0,0,0
Maruti Swift 1.3 VXi,2007,200000,80000,2,19.5,1248.0,81.83,5.0,0.0,0.0,1.0,1.0,0.0,1.0,18,Swift,4444.444444444444,1,0.06556891025641025,1440000,1595.685,0,0,0,1,0,0,0,0,0,0
Maruti Wagon R LXI Minor,2009,180000,90000,2,18.9,1061.0,67.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,16,Wagon,5625.0,2,0.06314797360980208,1440000,1266.3,0,0,0,1,0,0,0,0,0,0
Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,40000,1,18.15,1198.0,82.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,9,KUV,4444.444444444444,1,0.06844741235392321,360000,1488.3,0,0,0,0,0,1,0,0,0,0
Hyundai i20 1.4 CRDi Asta,2012,500000,53000,2,23.0,1396.0,90.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,13,i20,4076.923076923077,1,0.06446991404011461,689000,2070.0,0,0,1,0,0,0,0,0,0,0
Maruti Alto LX,2002,150000,80000,2,19.7,796.0,46.3,5.0,0.0,0.0,1.0,1.0,0.0,1.0,23,Alto,3478.2608695652175,1,0.05816582914572864,1840000,912.1099999999999,0,0,0,1,0,0,0,0,0,0
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,100000,1,22.54,1396.0,88.73,5.0,1.0,0.0,0.0,1.0,0.0,1.0,9,i20,11111.111111111111,2,0.06356017191977077,900000,1999.9742,0,0,1,0,0,0,0,0,0,0
Mahindra Verito 1.5 D4 BSIII,2011,174000,100000,2,21.0,1461.0,64.1,5.0,1.0,0.0,0.0,1.0,0.0,1.0,14,Verito,7142.857142857143,2,0.04387405886379192,1400000,1346.1,0,0,0,0,0,1,0,0,0,0
Honda WR-V i-DTEC VX,2017,950000,50000,1,25.5,1498.0,98.6,5.0,1.0,0.0,0.0,1.0,0.0,1.0,8,WR-V,6250.0,2,0.06582109479305741,400000,2514.2999999999997,0,1,0,0,0,0,0,0,0,0
Maruti Swift Dzire ZDI,2015,525000,40000,1,26.59,1248.0,74.0,5.0,1.0,0.0,0.0,1.0,0.0,1.0,10,Swift,4000.0,1,0.05929487179487179,400000,1967.66,0,0,0,1,0,0,0,0,0,0
Maruti SX4 ZDI,2012,600000,72000,1,21.5,1248.0,88.8,5.0,1.0,0.0,0.0,1.0,0.0,1.0,13,SX4,5538.461538461538,2,0.07115384615384615,936000,1909.2,0,0,0,1,0,0,0,0,0,0
